x,y
0,220
1,219.97558
2,219.95116
3,219.9267399
4,219.9023199
5,219.8778999
6,219.8534799
7,219.8290598
8,219.8046398
9,219.7802198
10,219.7557998
11,219.7313797
12,219.7069597
13,219.6825397
14,219.6581197
15,219.6336996
16,219.6092796
17,219.5848596
18,219.5604396
19,219.5360195
20,219.5115995
21,219.4871795
22,219.4627595
23,219.4383394
24,219.4139194
25,219.3894994
26,219.3650794
27,219.3406593
28,219.3162393
29,219.2918193
30,219.2673993
31,219.2429792
32,219.2185592
33,219.1941392
34,219.1697192
35,219.1452991
36,219.1208791
37,219.0964591
38,219.0720391
39,219.047619
40,219.023199
41,218.998779
42,218.974359
43,218.9499389
44,218.9255189
45,218.9010989
46,218.8766789
47,218.8522589
48,218.8278388
49,218.8034188
50,218.7789988
51,218.7545788
52,218.7301587
53,218.7057387
54,218.6813187
55,218.6568987
56,218.6324786
57,218.6080586
58,218.5836386
59,218.5592186
60,218.5347985
61,218.5103785
62,218.4859585
63,218.4615385
64,218.4371184
65,218.4126984
66,218.3882784
67,218.3638584
68,218.3394383
69,218.3150183
70,218.2905983
71,218.2661783
72,218.2417582
73,218.2173382
74,218.1929182
75,218.1684982
76,218.1440781
77,218.1196581
78,218.0952381
79,218.0708181
80,218.046398
81,218.021978
82,217.997558
83,217.973138
84,217.9487179
85,217.9242979
86,217.8998779
87,217.8754579
88,217.8510379
89,217.8266178
90,217.8021978
91,217.7777778
92,217.7533578
93,217.7289377
94,217.7045177
95,217.6800977
96,217.6556777
97,217.6312576
98,217.6068376
99,217.5824176
100,217.5579976
101,217.5335775
102,217.5091575
103,217.4847375
104,217.4603175
105,217.4358974
106,217.4114774
107,217.3870574
108,217.3626374
109,217.3382173
110,217.3137973
111,217.2893773
112,217.2649573
113,217.2405372
114,217.2161172
115,217.1916972
116,217.1672772
117,217.1428571
118,217.1184371
119,217.0940171
120,217.0695971
121,217.045177
122,217.020757
123,216.996337
124,216.971917
125,216.9474969
126,216.9230769
127,216.8986569
128,216.8742369
129,216.8498168
130,216.8253968
131,216.8009768
132,216.7765568
133,216.7521368
134,216.7277167
135,216.7032967
136,216.6788767
137,216.6544567
138,216.6300366
139,216.6056166
140,216.5811966
141,216.5567766
142,216.5323565
143,216.5079365
144,216.4835165
145,216.4590965
146,216.4346764
147,216.4102564
148,216.3858364
149,216.3614164
150,216.3369963
151,216.3125763
152,216.2881563
153,216.2637363
154,216.2393162
155,216.2148962
156,216.1904762
157,216.1660562
158,216.1416361
159,216.1172161
160,216.0927961
161,216.0683761
162,216.043956
163,216.019536
164,215.995116
165,215.970696
166,215.9462759
167,215.9218559
168,215.8974359
169,215.8730159
170,215.8485958
171,215.8241758
172,215.7997558
173,215.7753358
174,215.7509158
175,215.7264957
176,215.7020757
177,215.6776557
178,215.6532357
179,215.6288156
180,215.6043956
181,215.5799756
182,215.5555556
183,215.5311355
184,215.5067155
185,215.4822955
186,215.4578755
187,215.4334554
188,215.4090354
189,215.3846154
190,215.3601954
191,215.3357753
192,215.3113553
193,215.2869353
194,215.2625153
195,215.2380952
196,215.2136752
197,215.1892552
198,215.1648352
199,215.1404151
200,215.1159951
201,215.0915751
202,215.0671551
203,215.042735
204,215.018315
205,214.993895
206,214.969475
207,214.9450549
208,214.9206349
209,214.8962149
210,214.8717949
211,214.8473748
212,214.8229548
213,214.7985348
214,214.7741148
215,214.7496947
216,214.7252747
217,214.7008547
218,214.6764347
219,214.6520147
220,214.6275946
221,214.6031746
222,214.5787546
223,214.5543346
