x,y
0,224.5632397
1,224.5368062
2,224.5103728
3,224.4839393
4,224.4575058
5,224.4310723
6,224.4046389
7,224.3782054
8,224.3517719
9,224.3253385
10,224.298905
11,224.2724715
12,224.2460381
13,224.2196046
14,224.1931711
15,224.1667376
16,224.1403042
17,224.1138707
18,224.0874372
19,224.0610038
20,224.0345703
21,224.0081368
22,223.9817033
23,223.9552699
24,223.9288364
25,223.9024029
26,223.8759695
27,223.849536
28,223.8231025
29,223.7966691
30,223.7702356
31,223.7438021
32,223.7173686
33,223.6909352
34,223.6645017
35,223.6380682
36,223.6116348
37,223.5852013
38,223.5587678
39,223.5323343
40,223.5059009
41,223.4794674
42,223.4530339
43,223.4266005
44,223.400167
45,223.3737335
46,223.3473
47,223.3208666
48,223.2944331
49,223.2679996
50,223.2415662
51,223.2151327
52,223.1886992
53,223.1622658
54,223.1358323
55,223.1093988
56,223.0829653
57,223.0565319
58,223.0300984
59,223.0036649
60,222.9772315
61,222.950798
62,222.9243645
63,222.897931
64,222.8714976
65,222.8450641
66,222.8186306
67,222.7921972
68,222.7657637
69,222.7393302
70,222.7128968
71,222.6864633
72,222.6600298
73,222.6335963
74,222.6071629
75,222.5807294
76,222.5542959
77,222.5278625
78,222.501429
79,222.4749955
80,222.448562
81,222.4221286
82,222.3956951
83,222.3692616
84,222.3428282
85,222.3163947
86,222.2899612
87,222.2635278
88,222.2370943
89,222.2106608
90,222.1842273
91,222.1577939
92,222.1313604
93,222.1049269
94,222.0784935
95,222.05206
96,222.0256265
97,221.999193
98,221.9727596
99,221.9463261
100,221.9198926
101,221.8934592
102,221.8670257
103,221.8405922
104,221.8141588
105,221.7877253
106,221.7612918
107,221.7348583
108,221.7084249
109,221.6819914
110,221.6555579
111,221.6291245
112,221.602691
113,221.5762575
114,221.549824
115,221.5233906
116,221.4969571
117,221.4705236
118,221.4440902
119,221.4176567
120,221.3912232
121,221.3647898
122,221.3383563
123,221.3119228
124,221.2854893
125,221.2590559
126,221.2326224
127,221.2061889
128,221.1797555
129,221.153322
130,221.1268885
131,221.100455
132,221.0740216
133,221.0475881
134,221.0211546
135,220.9947212
136,220.9682877
137,220.9418542
138,220.9154207
139,220.8889873
140,220.8625538
141,220.8361203
142,220.8096869
143,220.7832534
144,220.7568199
145,220.7303865
146,220.703953
147,220.6775195
148,220.651086
149,220.6246526
150,220.5982191
151,220.5717856
152,220.5453522
153,220.5189187
154,220.4924852
