[@INI FORMAT] ; Start ini type format

[GENERAL]
  VersionNo  = DCIC-2.0.0
  CameraType = 1
  DataInfo   = 4096,1,16,2
  MeasureMode = 1
  SheetData  = 0
  Profile    = 0
  ImageWin      = 0,1.00,ADU,0,0,1,0,0
  SingleLineWin = 1,0.00,4095.00,1.00,Pixel,0,1.00,ADU,0,0
  MultiLineWin  = 1,0.00,4095.00,1.00,Pixel,0,1.00,ADU,1,0,0,0,0,0
  MultiXLineWin = 1,0.00,4095.00,1.00,Pixel,0,1.00,ADU,1,0,0,0,0,0
  MultiYLineWin = 1,0.00,4095.00,1.00,Pixel,0,1.00,ADU,1,0,0,0,0,0
  NumberBase = 10

TemperatureFlag = FALSE
FrameRateFlag = TRUE
FrameRate = 0.000000
LenceView = TRUE
[MEAS_INFO]
  Average    = 0
  MeasData   = 1
  MeasArea   = 0,0,4095,0
  CursorPos  = 2048,0
  ROI        = 0,0,4095,0
  RotateType = 0
  ReversType = 0
  ViewType = 0

[DARK_INFO]
  DarkData   = 0
  DarkCalib  = 0

[CHANNEL_INFO]
IC1 =1,1,1,1,1
IC2 =1,1,1,1,1
IC3 =1,1,1,1,1
IC4 =1,1,1,1,1
[@USE FORMAT] ; Start use type format

[MEAS_DATA]
Pixel Number,AVE,SD,PP,MAX,MIN,Line1
0,45905.000000,0.000000,0,45905,45905,45905
1,44655.000000,0.000000,0,44655,44655,44655
2,41728.000000,0.000000,0,41728,41728,41728
3,42970.000000,0.000000,0,42970,42970,42970
4,43448.000000,0.000000,0,43448,43448,43448
5,45656.000000,0.000000,0,45656,45656,45656
6,48009.000000,0.000000,0,48009,48009,48009
7,49272.000000,0.000000,0,49272,49272,49272
8,50949.000000,0.000000,0,50949,50949,50949
9,51376.000000,0.000000,0,51376,51376,51376
10,52390.000000,0.000000,0,52390,52390,52390
11,50838.000000,0.000000,0,50838,50838,50838
12,51918.000000,0.000000,0,51918,51918,51918
13,49378.000000,0.000000,0,49378,49378,49378
14,49124.000000,0.000000,0,49124,49124,49124
15,45809.000000,0.000000,0,45809,45809,45809
16,42279.000000,0.000000,0,42279,42279,42279
17,38763.000000,0.000000,0,38763,38763,38763
18,35211.000000,0.000000,0,35211,35211,35211
19,31744.000000,0.000000,0,31744,31744,31744
20,30060.000000,0.000000,0,30060,30060,30060
21,28037.000000,0.000000,0,28037,28037,28037
22,26215.000000,0.000000,0,26215,26215,26215
23,25185.000000,0.000000,0,25185,25185,25185
24,25130.000000,0.000000,0,25130,25130,25130
25,24476.000000,0.000000,0,24476,24476,24476
26,24508.000000,0.000000,0,24508,24508,24508
27,23675.000000,0.000000,0,23675,23675,23675
28,24060.000000,0.000000,0,24060,24060,24060
29,24059.000000,0.000000,0,24059,24059,24059
30,23650.000000,0.000000,0,23650,23650,23650
31,23618.000000,0.000000,0,23618,23618,23618
32,24169.000000,0.000000,0,24169,24169,24169
33,24196.000000,0.000000,0,24196,24196,24196
34,23877.000000,0.000000,0,23877,23877,23877
35,23839.000000,0.000000,0,23839,23839,23839
36,24749.000000,0.000000,0,24749,24749,24749
37,24416.000000,0.000000,0,24416,24416,24416
38,24950.000000,0.000000,0,24950,24950,24950
39,24660.000000,0.000000,0,24660,24660,24660
40,25229.000000,0.000000,0,25229,25229,25229
41,25112.000000,0.000000,0,25112,25112,25112
42,26572.000000,0.000000,0,26572,26572,26572
43,26577.000000,0.000000,0,26577,26577,26577
44,27056.000000,0.000000,0,27056,27056,27056
45,28850.000000,0.000000,0,28850,28850,28850
46,29000.000000,0.000000,0,29000,29000,29000
47,30748.000000,0.000000,0,30748,30748,30748
48,32042.000000,0.000000,0,32042,32042,32042
49,33886.000000,0.000000,0,33886,33886,33886
50,36995.000000,0.000000,0,36995,36995,36995
51,38672.000000,0.000000,0,38672,38672,38672
52,42346.000000,0.000000,0,42346,42346,42346
53,44949.000000,0.000000,0,44949,44949,44949
54,47037.000000,0.000000,0,47037,47037,47037
55,48709.000000,0.000000,0,48709,48709,48709
56,53024.000000,0.000000,0,53024,53024,53024
57,54317.000000,0.000000,0,54317,54317,54317
58,57966.000000,0.000000,0,57966,57966,57966
59,59430.000000,0.000000,0,59430,59430,59430
60,61986.000000,0.000000,0,61986,61986,61986
61,62078.000000,0.000000,0,62078,62078,62078
62,63098.000000,0.000000,0,63098,63098,63098
63,62589.000000,0.000000,0,62589,62589,62589
64,62291.000000,0.000000,0,62291,62291,62291
65,61023.000000,0.000000,0,61023,61023,61023
66,60499.000000,0.000000,0,60499,60499,60499
67,57529.000000,0.000000,0,57529,57529,57529
68,56126.000000,0.000000,0,56126,56126,56126
69,53411.000000,0.000000,0,53411,53411,53411
70,49843.000000,0.000000,0,49843,49843,49843
71,47149.000000,0.000000,0,47149,47149,47149
